Position,Flop,Board Texture,Your Hand Type,Recommended Action
BB,J♠ T♠ 2♦,Ace-high,Straight draw,"Semi-bluff on connected boards, check otherwise"
MP,A♦ A♣ K♣,Monotone,Air,"Check-fold, maybe bluff on scare card"
BTN,2♠ 6♦ 9♣,Dry,Bottom pair,"Check, rarely call a small bet"
SB,2♠ 6♦ 9♣,Ace-high,Flush draw,"Semi-bluff on wet board, check-call on dry"
MP,A♠ K♦ 7♣,Paired,Set,"Bet for value, consider raising vs bet"
SB,J♠ T♠ 2♦,Paired,Middle pair,"Check or small bet, fold to raise"
BTN,A♦ A♣ K♣,Connected,Set,"Bet for value, consider raising vs bet"
MP,A♠ K♦ 7♣,Wet,Air,"Check-fold, maybe bluff on scare card"
CO,9♣ 8♣ 7♣,Dry,Set,"Bet for value, consider raising vs bet"
BTN,J♠ T♠ 2♦,Ace-high,Top pair,"Bet for value, fold to big raise on wet board"
MP,J♦ 9♦ 4♦,Monotone,Flush draw,"Semi-bluff on wet board, check-call on dry"
MP,K♣ Q♦ T♠,Paired,Flush draw,"Semi-bluff on wet board, check-call on dry"
MP,J♦ 9♦ 4♦,Wet,Overpair,"Bet, check back some turns"
MP,Q♠ 7♦ 2♣,Paired,Straight draw,"Semi-bluff on connected boards, check otherwise"
MP,Q♠ 7♦ 2♣,Connected,Middle pair,"Check or small bet, fold to raise"
BTN,5♦ 5♣ K♥,Dry,Overpair,"Bet, check back some turns"
MP,9♣ 8♣ 7♣,Dry,Overpair,"Bet, check back some turns"
CO,3♣ 3♠ 3♦,Monotone,Top pair,"Bet for value, fold to big raise on wet board"
CO,K♣ Q♦ T♠,Wet,Two pair,"Bet for value, consider raising vs bet"
SB,J♦ 9♦ 4♦,Connected,Overpair,"Bet, check back some turns"
MP,A♠ K♦ 7♣,Connected,Straight draw,"Semi-bluff on connected boards, check otherwise"
MP,2♠ 6♦ 9♣,Connected,Straight draw,"Semi-bluff on connected boards, check otherwise"
BB,Q♠ 7♦ 2♣,Paired,Two pair,"Bet for value, consider raising vs bet"
BTN,A♠ K♦ 7♣,Dry,Flush draw,"Semi-bluff on wet board, check-call on dry"
BB,J♦ 9♦ 4♦,Dry,Two pair,"Bet for value, consider raising vs bet"
MP,9♣ 8♣ 7♣,Ace-high,Overpair,"Bet, check back some turns"
CO,J♦ 9♦ 4♦,Ace-high,Middle pair,"Check or small bet, fold to raise"
BB,3♣ 3♠ 3♦,Wet,Straight draw,"Semi-bluff on connected boards, check otherwise"
CO,2♠ 6♦ 9♣,Ace-high,Middle pair,"Check or small bet, fold to raise"
SB,J♠ T♠ 2♦,Monotone,Middle pair,"Check or small bet, fold to raise"
BTN,K♣ Q♦ T♠,Dry,Air,"Check-fold, maybe bluff on scare card"
MP,J♠ T♠ 2♦,Paired,Overpair,"Bet, check back some turns"
SB,J♦ 9♦ 4♦,Monotone,Two pair,"Bet for value, consider raising vs bet"
CO,Q♠ 7♦ 2♣,Ace-high,Middle pair,"Check or small bet, fold to raise"
BB,3♣ 3♠ 3♦,Connected,Overpair,"Bet, check back some turns"
BB,A♠ K♦ 7♣,Dry,Top pair,"Bet for value, fold to big raise on wet board"
CO,Q♠ 7♦ 2♣,Ace-high,Top pair,"Bet for value, fold to big raise on wet board"
CO,5♦ 5♣ K♥,Paired,Top pair,"Bet for value, fold to big raise on wet board"
CO,A♦ A♣ K♣,Dry,Air,"Check-fold, maybe bluff on scare card"
CO,A♠ K♦ 7♣,Monotone,Two pair,"Bet for value, consider raising vs bet"
CO,A♦ A♣ K♣,Paired,Set,"Bet for value, consider raising vs bet"
CO,3♣ 3♠ 3♦,Dry,Air,"Check-fold, maybe bluff on scare card"
BB,A♠ K♦ 7♣,Ace-high,Bottom pair,"Check, rarely call a small bet"
MP,J♦ 9♦ 4♦,Monotone,Bottom pair,"Check, rarely call a small bet"
SB,5♦ 5♣ K♥,Paired,Top pair,"Bet for value, fold to big raise on wet board"
BTN,Q♠ 7♦ 2♣,Ace-high,Top pair,"Bet for value, fold to big raise on wet board"
BTN,A♠ K♦ 7♣,Monotone,Top pair,"Bet for value, fold to big raise on wet board"
BB,K♣ Q♦ T♠,Dry,Set,"Bet for value, consider raising vs bet"
CO,A♦ A♣ K♣,Ace-high,Two pair,"Bet for value, consider raising vs bet"
BB,A♠ K♦ 7♣,Connected,Two pair,"Bet for value, consider raising vs bet"
SB,2♠ 6♦ 9♣,Connected,Flush draw,"Semi-bluff on wet board, check-call on dry"
SB,Q♠ 7♦ 2♣,Monotone,Air,"Check-fold, maybe bluff on scare card"
BB,3♣ 3♠ 3♦,Monotone,Overpair,"Bet, check back some turns"
CO,9♣ 8♣ 7♣,Dry,Top pair,"Bet for value, fold to big raise on wet board"
BB,5♦ 5♣ K♥,Connected,Top pair,"Bet for value, fold to big raise on wet board"
BB,A♦ A♣ K♣,Wet,Middle pair,"Check or small bet, fold to raise"
CO,A♠ K♦ 7♣,Ace-high,Straight draw,"Semi-bluff on connected boards, check otherwise"
SB,K♣ Q♦ T♠,Dry,Air,"Check-fold, maybe bluff on scare card"
MP,J♦ 9♦ 4♦,Monotone,Overpair,"Bet, check back some turns"
MP,K♣ Q♦ T♠,Wet,Set,"Bet for value, consider raising vs bet"
BTN,J♠ T♠ 2♦,Dry,Overpair,"Bet, check back some turns"
SB,9♣ 8♣ 7♣,Dry,Two pair,"Bet for value, consider raising vs bet"
BTN,J♠ T♠ 2♦,Monotone,Air,"Check-fold, maybe bluff on scare card"
BTN,5♦ 5♣ K♥,Connected,Bottom pair,"Check, rarely call a small bet"
BTN,K♣ Q♦ T♠,Wet,Flush draw,"Semi-bluff on wet board, check-call on dry"
BB,J♦ 9♦ 4♦,Monotone,Set,"Bet for value, consider raising vs bet"
BTN,J♠ T♠ 2♦,Dry,Straight draw,"Semi-bluff on connected boards, check otherwise"
SB,2♠ 6♦ 9♣,Dry,Straight draw,"Semi-bluff on connected boards, check otherwise"
CO,Q♠ 7♦ 2♣,Paired,Overpair,"Bet, check back some turns"
SB,J♠ T♠ 2♦,Dry,Bottom pair,"Check, rarely call a small bet"
BTN,2♠ 6♦ 9♣,Monotone,Top pair,"Bet for value, fold to big raise on wet board"
MP,3♣ 3♠ 3♦,Monotone,Overpair,"Bet, check back some turns"
CO,2♠ 6♦ 9♣,Monotone,Straight draw,"Semi-bluff on connected boards, check otherwise"
BTN,J♠ T♠ 2♦,Dry,Set,"Bet for value, consider raising vs bet"
BB,Q♠ 7♦ 2♣,Wet,Straight draw,"Semi-bluff on connected boards, check otherwise"
MP,2♠ 6♦ 9♣,Wet,Bottom pair,"Check, rarely call a small bet"
CO,Q♠ 7♦ 2♣,Dry,Air,"Check-fold, maybe bluff on scare card"
BTN,K♣ Q♦ T♠,Paired,Two pair,"Bet for value, consider raising vs bet"
BB,A♦ A♣ K♣,Monotone,Air,"Check-fold, maybe bluff on scare card"
SB,3♣ 3♠ 3♦,Dry,Overpair,"Bet, check back some turns"
BTN,A♦ A♣ K♣,Connected,Bottom pair,"Check, rarely call a small bet"
CO,3♣ 3♠ 3♦,Wet,Air,"Check-fold, maybe bluff on scare card"
CO,K♣ Q♦ T♠,Connected,Top pair,"Bet for value, fold to big raise on wet board"
BTN,A♠ K♦ 7♣,Monotone,Flush draw,"Semi-bluff on wet board, check-call on dry"
BB,K♣ Q♦ T♠,Ace-high,Bottom pair,"Check, rarely call a small bet"
MP,5♦ 5♣ K♥,Wet,Overpair,"Bet, check back some turns"
BB,A♠ K♦ 7♣,Ace-high,Two pair,"Bet for value, consider raising vs bet"
BTN,A♠ K♦ 7♣,Ace-high,Straight draw,"Semi-bluff on connected boards, check otherwise"
CO,A♠ K♦ 7♣,Ace-high,Straight draw,"Semi-bluff on connected boards, check otherwise"
MP,2♠ 6♦ 9♣,Monotone,Flush draw,"Semi-bluff on wet board, check-call on dry"
MP,3♣ 3♠ 3♦,Ace-high,Air,"Check-fold, maybe bluff on scare card"
CO,J♦ 9♦ 4♦,Connected,Two pair,"Bet for value, consider raising vs bet"
BB,J♦ 9♦ 4♦,Wet,Overpair,"Bet, check back some turns"
CO,Q♠ 7♦ 2♣,Monotone,Flush draw,"Semi-bluff on wet board, check-call on dry"
BTN,Q♠ 7♦ 2♣,Paired,Straight draw,"Semi-bluff on connected boards, check otherwise"
BTN,A♠ K♦ 7♣,Connected,Flush draw,"Semi-bluff on wet board, check-call on dry"
BB,2♠ 6♦ 9♣,Dry,Two pair,"Bet for value, consider raising vs bet"
BB,3♣ 3♠ 3♦,Wet,Overpair,"Bet, check back some turns"
MP,9♣ 8♣ 7♣,Wet,Overpair,"Bet, check back some turns"
CO,J♠ T♠ 2♦,Dry,Two pair,"Bet for value, consider raising vs bet"
CO,Q♠ 7♦ 2♣,Ace-high,Two pair,"Bet for value, consider raising vs bet"
MP,9♣ 8♣ 7♣,Paired,Bottom pair,"Check, rarely call a small bet"
SB,3♣ 3♠ 3♦,Wet,Bottom pair,"Check, rarely call a small bet"
MP,2♠ 6♦ 9♣,Ace-high,Set,"Bet for value, consider raising vs bet"
CO,J♦ 9♦ 4♦,Monotone,Middle pair,"Check or small bet, fold to raise"
CO,A♦ A♣ K♣,Paired,Top pair,"Bet for value, fold to big raise on wet board"
CO,J♦ 9♦ 4♦,Dry,Bottom pair,"Check, rarely call a small bet"
SB,2♠ 6♦ 9♣,Connected,Bottom pair,"Check, rarely call a small bet"
CO,J♠ T♠ 2♦,Paired,Set,"Bet for value, consider raising vs bet"
CO,A♠ K♦ 7♣,Connected,Air,"Check-fold, maybe bluff on scare card"
MP,5♦ 5♣ K♥,Paired,Set,"Bet for value, consider raising vs bet"
SB,Q♠ 7♦ 2♣,Dry,Straight draw,"Semi-bluff on connected boards, check otherwise"
SB,A♠ K♦ 7♣,Paired,Top pair,"Bet for value, fold to big raise on wet board"
BB,Q♠ 7♦ 2♣,Wet,Overpair,"Bet, check back some turns"
SB,J♠ T♠ 2♦,Paired,Middle pair,"Check or small bet, fold to raise"
BTN,9♣ 8♣ 7♣,Monotone,Top pair,"Bet for value, fold to big raise on wet board"
BB,J♠ T♠ 2♦,Wet,Air,"Check-fold, maybe bluff on scare card"
MP,J♦ 9♦ 4♦,Monotone,Two pair,"Bet for value, consider raising vs bet"
MP,J♦ 9♦ 4♦,Ace-high,Middle pair,"Check or small bet, fold to raise"
SB,J♠ T♠ 2♦,Dry,Overpair,"Bet, check back some turns"
BB,K♣ Q♦ T♠,Monotone,Set,"Bet for value, consider raising vs bet"
BTN,J♠ T♠ 2♦,Monotone,Air,"Check-fold, maybe bluff on scare card"
CO,Q♠ 7♦ 2♣,Ace-high,Straight draw,"Semi-bluff on connected boards, check otherwise"
CO,K♣ Q♦ T♠,Dry,Two pair,"Bet for value, consider raising vs bet"
BB,J♠ T♠ 2♦,Dry,Flush draw,"Semi-bluff on wet board, check-call on dry"
CO,K♣ Q♦ T♠,Connected,Flush draw,"Semi-bluff on wet board, check-call on dry"
BB,A♦ A♣ K♣,Connected,Air,"Check-fold, maybe bluff on scare card"
BTN,9♣ 8♣ 7♣,Connected,Bottom pair,"Check, rarely call a small bet"
MP,2♠ 6♦ 9♣,Dry,Middle pair,"Check or small bet, fold to raise"
SB,A♠ K♦ 7♣,Ace-high,Middle pair,"Check or small bet, fold to raise"
BB,5♦ 5♣ K♥,Connected,Top pair,"Bet for value, fold to big raise on wet board"
MP,2♠ 6♦ 9♣,Ace-high,Bottom pair,"Check, rarely call a small bet"
BB,A♦ A♣ K♣,Paired,Air,"Check-fold, maybe bluff on scare card"
BTN,J♦ 9♦ 4♦,Ace-high,Straight draw,"Semi-bluff on connected boards, check otherwise"
BTN,5♦ 5♣ K♥,Monotone,Flush draw,"Semi-bluff on wet board, check-call on dry"
CO,J♠ T♠ 2♦,Monotone,Set,"Bet for value, consider raising vs bet"
MP,K♣ Q♦ T♠,Monotone,Flush draw,"Semi-bluff on wet board, check-call on dry"
MP,3♣ 3♠ 3♦,Paired,Middle pair,"Check or small bet, fold to raise"
SB,A♠ K♦ 7♣,Ace-high,Flush draw,"Semi-bluff on wet board, check-call on dry"
BTN,J♦ 9♦ 4♦,Paired,Air,"Check-fold, maybe bluff on scare card"
BTN,9♣ 8♣ 7♣,Paired,Air,"Check-fold, maybe bluff on scare card"
BB,J♠ T♠ 2♦,Wet,Straight draw,"Semi-bluff on connected boards, check otherwise"
BB,Q♠ 7♦ 2♣,Monotone,Top pair,"Bet for value, fold to big raise on wet board"
BTN,5♦ 5♣ K♥,Wet,Two pair,"Bet for value, consider raising vs bet"
BTN,J♦ 9♦ 4♦,Connected,Set,"Bet for value, consider raising vs bet"
BTN,3♣ 3♠ 3♦,Paired,Top pair,"Bet for value, fold to big raise on wet board"
CO,9♣ 8♣ 7♣,Paired,Straight draw,"Semi-bluff on connected boards, check otherwise"
MP,J♦ 9♦ 4♦,Connected,Straight draw,"Semi-bluff on connected boards, check otherwise"
MP,J♦ 9♦ 4♦,Wet,Overpair,"Bet, check back some turns"
MP,A♠ K♦ 7♣,Wet,Air,"Check-fold, maybe bluff on scare card"
CO,Q♠ 7♦ 2♣,Monotone,Middle pair,"Check or small bet, fold to raise"
CO,A♠ K♦ 7♣,Monotone,Middle pair,"Check or small bet, fold to raise"
BTN,J♠ T♠ 2♦,Dry,Middle pair,"Check or small bet, fold to raise"
BB,Q♠ 7♦ 2♣,Ace-high,Two pair,"Bet for value, consider raising vs bet"
CO,3♣ 3♠ 3♦,Ace-high,Two pair,"Bet for value, consider raising vs bet"
SB,5♦ 5♣ K♥,Ace-high,Flush draw,"Semi-bluff on wet board, check-call on dry"
MP,9♣ 8♣ 7♣,Paired,Flush draw,"Semi-bluff on wet board, check-call on dry"
CO,9♣ 8♣ 7♣,Paired,Bottom pair,"Check, rarely call a small bet"
MP,3♣ 3♠ 3♦,Paired,Bottom pair,"Check, rarely call a small bet"
BTN,Q♠ 7♦ 2♣,Wet,Set,"Bet for value, consider raising vs bet"
SB,2♠ 6♦ 9♣,Connected,Two pair,"Bet for value, consider raising vs bet"
CO,J♠ T♠ 2♦,Dry,Straight draw,"Semi-bluff on connected boards, check otherwise"
MP,J♦ 9♦ 4♦,Monotone,Straight draw,"Semi-bluff on connected boards, check otherwise"
BTN,3♣ 3♠ 3♦,Dry,Air,"Check-fold, maybe bluff on scare card"
MP,J♦ 9♦ 4♦,Dry,Overpair,"Bet, check back some turns"
SB,9♣ 8♣ 7♣,Connected,Two pair,"Bet for value, consider raising vs bet"
BTN,K♣ Q♦ T♠,Monotone,Straight draw,"Semi-bluff on connected boards, check otherwise"
MP,A♠ K♦ 7♣,Monotone,Top pair,"Bet for value, fold to big raise on wet board"
CO,K♣ Q♦ T♠,Monotone,Straight draw,"Semi-bluff on connected boards, check otherwise"
SB,3♣ 3♠ 3♦,Paired,Flush draw,"Semi-bluff on wet board, check-call on dry"
BTN,K♣ Q♦ T♠,Wet,Top pair,"Bet for value, fold to big raise on wet board"
MP,A♦ A♣ K♣,Connected,Flush draw,"Semi-bluff on wet board, check-call on dry"
BTN,J♠ T♠ 2♦,Connected,Middle pair,"Check or small bet, fold to raise"
BB,K♣ Q♦ T♠,Dry,Set,"Bet for value, consider raising vs bet"
BTN,3♣ 3♠ 3♦,Monotone,Straight draw,"Semi-bluff on connected boards, check otherwise"
SB,J♠ T♠ 2♦,Monotone,Top pair,"Bet for value, fold to big raise on wet board"
BTN,J♦ 9♦ 4♦,Monotone,Set,"Bet for value, consider raising vs bet"
MP,K♣ Q♦ T♠,Wet,Bottom pair,"Check, rarely call a small bet"
BB,2♠ 6♦ 9♣,Wet,Set,"Bet for value, consider raising vs bet"
BTN,J♠ T♠ 2♦,Paired,Flush draw,"Semi-bluff on wet board, check-call on dry"
CO,3♣ 3♠ 3♦,Paired,Bottom pair,"Check, rarely call a small bet"
MP,J♠ T♠ 2♦,Ace-high,Flush draw,"Semi-bluff on wet board, check-call on dry"
BTN,2♠ 6♦ 9♣,Ace-high,Top pair,"Bet for value, fold to big raise on wet board"
BB,A♦ A♣ K♣,Connected,Straight draw,"Semi-bluff on connected boards, check otherwise"
BTN,J♦ 9♦ 4♦,Paired,Straight draw,"Semi-bluff on connected boards, check otherwise"
BB,A♠ K♦ 7♣,Wet,Straight draw,"Semi-bluff on connected boards, check otherwise"
MP,K♣ Q♦ T♠,Wet,Flush draw,"Semi-bluff on wet board, check-call on dry"
CO,5♦ 5♣ K♥,Ace-high,Top pair,"Bet for value, fold to big raise on wet board"
MP,9♣ 8♣ 7♣,Dry,Overpair,"Bet, check back some turns"
CO,2♠ 6♦ 9♣,Wet,Air,"Check-fold, maybe bluff on scare card"
BTN,K♣ Q♦ T♠,Paired,Straight draw,"Semi-bluff on connected boards, check otherwise"
MP,3♣ 3♠ 3♦,Paired,Flush draw,"Semi-bluff on wet board, check-call on dry"
BB,A♠ K♦ 7♣,Ace-high,Bottom pair,"Check, rarely call a small bet"
MP,5♦ 5♣ K♥,Dry,Two pair,"Bet for value, consider raising vs bet"
MP,3♣ 3♠ 3♦,Connected,Flush draw,"Semi-bluff on wet board, check-call on dry"
MP,J♠ T♠ 2♦,Paired,Two pair,"Bet for value, consider raising vs bet"
CO,9♣ 8♣ 7♣,Paired,Middle pair,"Check or small bet, fold to raise"
CO,5♦ 5♣ K♥,Monotone,Top pair,"Bet for value, fold to big raise on wet board"
SB,A♦ A♣ K♣,Wet,Air,"Check-fold, maybe bluff on scare card"
BTN,Q♠ 7♦ 2♣,Wet,Top pair,"Bet for value, fold to big raise on wet board"
CO,3♣ 3♠ 3♦,Wet,Top pair,"Bet for value, fold to big raise on wet board"
SB,J♠ T♠ 2♦,Monotone,Top pair,"Bet for value, fold to big raise on wet board"
CO,K♣ Q♦ T♠,Wet,Overpair,"Bet, check back some turns"
SB,9♣ 8♣ 7♣,Monotone,Air,"Check-fold, maybe bluff on scare card"
BTN,Q♠ 7♦ 2♣,Paired,Set,"Bet for value, consider raising vs bet"
MP,K♣ Q♦ T♠,Connected,Middle pair,"Check or small bet, fold to raise"
BTN,5♦ 5♣ K♥,Monotone,Air,"Check-fold, maybe bluff on scare card"
MP,J♠ T♠ 2♦,Monotone,Overpair,"Bet, check back some turns"
BTN,J♦ 9♦ 4♦,Dry,Bottom pair,"Check, rarely call a small bet"
BTN,Q♠ 7♦ 2♣,Dry,Overpair,"Bet, check back some turns"
BB,A♠ K♦ 7♣,Wet,Two pair,"Bet for value, consider raising vs bet"
CO,3♣ 3♠ 3♦,Wet,Straight draw,"Semi-bluff on connected boards, check otherwise"
BTN,A♠ K♦ 7♣,Dry,Straight draw,"Semi-bluff on connected boards, check otherwise"
BTN,A♠ K♦ 7♣,Paired,Air,"Check-fold, maybe bluff on scare card"
BTN,J♠ T♠ 2♦,Dry,Top pair,"Bet for value, fold to big raise on wet board"
BTN,A♠ K♦ 7♣,Wet,Straight draw,"Semi-bluff on connected boards, check otherwise"
MP,K♣ Q♦ T♠,Dry,Overpair,"Bet, check back some turns"
MP,K♣ Q♦ T♠,Connected,Set,"Bet for value, consider raising vs bet"
SB,Q♠ 7♦ 2♣,Connected,Flush draw,"Semi-bluff on wet board, check-call on dry"
BTN,A♠ K♦ 7♣,Paired,Bottom pair,"Check, rarely call a small bet"
MP,5♦ 5♣ K♥,Dry,Straight draw,"Semi-bluff on connected boards, check otherwise"
BB,9♣ 8♣ 7♣,Dry,Overpair,"Bet, check back some turns"
BTN,2♠ 6♦ 9♣,Connected,Set,"Bet for value, consider raising vs bet"
MP,A♠ K♦ 7♣,Monotone,Flush draw,"Semi-bluff on wet board, check-call on dry"
BTN,J♦ 9♦ 4♦,Paired,Top pair,"Bet for value, fold to big raise on wet board"
BB,A♦ A♣ K♣,Ace-high,Overpair,"Bet, check back some turns"
BTN,K♣ Q♦ T♠,Connected,Set,"Bet for value, consider raising vs bet"
CO,A♠ K♦ 7♣,Wet,Overpair,"Bet, check back some turns"
BTN,3♣ 3♠ 3♦,Wet,Straight draw,"Semi-bluff on connected boards, check otherwise"
BTN,A♦ A♣ K♣,Monotone,Two pair,"Bet for value, consider raising vs bet"
BB,3♣ 3♠ 3♦,Monotone,Two pair,"Bet for value, consider raising vs bet"
SB,K♣ Q♦ T♠,Monotone,Two pair,"Bet for value, consider raising vs bet"
BB,Q♠ 7♦ 2♣,Dry,Two pair,"Bet for value, consider raising vs bet"
CO,J♦ 9♦ 4♦,Ace-high,Overpair,"Bet, check back some turns"
SB,J♦ 9♦ 4♦,Connected,Air,"Check-fold, maybe bluff on scare card"
BB,A♠ K♦ 7♣,Connected,Bottom pair,"Check, rarely call a small bet"
BB,5♦ 5♣ K♥,Monotone,Air,"Check-fold, maybe bluff on scare card"
CO,Q♠ 7♦ 2♣,Paired,Overpair,"Bet, check back some turns"
BTN,K♣ Q♦ T♠,Wet,Overpair,"Bet, check back some turns"
BTN,A♦ A♣ K♣,Connected,Straight draw,"Semi-bluff on connected boards, check otherwise"
CO,Q♠ 7♦ 2♣,Paired,Overpair,"Bet, check back some turns"
SB,A♠ K♦ 7♣,Monotone,Bottom pair,"Check, rarely call a small bet"
BB,2♠ 6♦ 9♣,Wet,Overpair,"Bet, check back some turns"
SB,A♦ A♣ K♣,Monotone,Flush draw,"Semi-bluff on wet board, check-call on dry"
SB,9♣ 8♣ 7♣,Paired,Bottom pair,"Check, rarely call a small bet"
CO,J♠ T♠ 2♦,Dry,Air,"Check-fold, maybe bluff on scare card"
SB,K♣ Q♦ T♠,Wet,Straight draw,"Semi-bluff on connected boards, check otherwise"
BTN,5♦ 5♣ K♥,Connected,Overpair,"Bet, check back some turns"
CO,Q♠ 7♦ 2♣,Monotone,Straight draw,"Semi-bluff on connected boards, check otherwise"
BB,K♣ Q♦ T♠,Connected,Air,"Check-fold, maybe bluff on scare card"